"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0306249300358806,0.19928369730579,0.0332185642492903,0.133258225640285,500
"standard deviation",0.115770709282584,0.0693735586306993,0.113422701438578,0.0988774569261637,500
"root MSE",0.119741650631973,0.211011184800298,0.118176178947234,0.165929354963746,500
"coverage probability",0.925,0.0156,0.9298,0.407,500
"bias",0.0378448503152058,0.106343385712771,0.0176910754724088,0.0536394234212943,1000
"standard deviation",0.0560747650325927,0.040337537903514,0.0734790442101551,0.0801456114504889,1000
"root MSE",0.0676460131344496,0.113735250584767,0.075571583650343,0.0964324743845903,1000
"coverage probability",0.8818,0.0834,0.9178,0.582,1000
"bias",0.0340522261829911,0.070702690237246,0.00460771290739763,0.0175343203010982,2000
"standard deviation",0.0323805259227386,0.0263960276287398,0.0595943384574178,0.0740310546470335,2000
"root MSE",0.0469876884657984,0.0754684128050023,0.0597662605269815,0.0760720271924124,2000
"coverage probability",0.798,0.1084,0.8888,0.6572,2000
"bias",0.0273980817362106,0.0522318964261201,0.00460636415328532,0.00588867437748543,3000
"standard deviation",0.0238936572766744,0.0203253767116796,0.0507520822521104,0.0613266689011158,3000
"root MSE",0.0363517201726087,0.0560464924732399,0.0509556404028746,0.0616026347842967,3000
"coverage probability",0.7934,0.1522,0.911,0.7438,3000
"bias",0.0235430562065186,0.0421089708278625,0.0108880409124526,0.00126948003141237,4000
"standard deviation",0.0193399640603011,0.0171170923496825,0.0473061702456748,0.0559234723231105,4000
"root MSE",0.0304669476409282,0.0454543911599224,0.0485383930870743,0.0559322880747116,4000
"coverage probability",0.7952,0.19,0.9368,0.808,4000
"bias",0.0211186084113513,0.0356099294613799,0.011359610752295,1.98207509189555e-06,5000
"standard deviation",0.0164071721139048,0.0147258005801733,0.0428588692290989,0.0474524744259279,5000
"root MSE",0.0267420470223941,0.0385340486989226,0.0443345920417267,0.0474477289825986,5000
"coverage probability",0.7764,0.2278,0.945,0.8454,5000
