"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.027782605063111,0.103208630679474,0.0392444278867098,0.0754934176444885,500
"standard deviation",0.0873009657345654,0.0538767351917308,0.0766689146173722,0.0680813389828847,500
"root MSE",0.0916068090840245,0.116422263769148,0.0861224242823398,0.101653321694887,500
"coverage probability",0.9486,0.2958,0.9374,0.7046,500
"bias",0.0185834567364991,0.0554551875567074,0.0175468541758316,0.0322743882199686,1000
"standard deviation",0.0467042987813496,0.0365969104901098,0.0476845578925903,0.0490756184459047,1000
"root MSE",0.0502613184330652,0.0664405284265501,0.0508060467805498,0.0587330467246175,1000
"coverage probability",0.9472,0.5018,0.9494,0.8362,1000
"bias",0.0141384628558339,0.0333430073255914,0.00777819104308264,0.0133860186769763,2000
"standard deviation",0.0280510899149743,0.024999599561184,0.0325452201490779,0.0365067814370585,2000
"root MSE",0.0314102277071447,0.0416726663382408,0.0334586277689885,0.0388801239439297,2000
"coverage probability",0.933,0.618,0.9512,0.901,2000
"bias",0.0107934244588117,0.0228519696670126,0.00373006576110628,0.00731114968993672,3000
"standard deviation",0.0212231186165274,0.0194471433570412,0.0253629362486207,0.028853156040643,3000
"root MSE",0.0238081643812895,0.0300054705701215,0.0256332454056591,0.0297622415548906,3000
"coverage probability",0.9342,0.7124,0.9544,0.9326,3000
"bias",0.00963728255193668,0.0183801321554012,0.00269184875296111,0.00582156435355427,4000
"standard deviation",0.0174551386810006,0.0163041071250095,0.0215295106858001,0.0243330437017708,4000
"root MSE",0.0199373555163556,0.0245682722716102,0.0216950034826622,0.0250173781182541,4000
"coverage probability",0.933,0.7516,0.9642,0.9502,4000
"bias",0.00855569135348861,0.0151837578997208,0.00222878475192374,0.00520538851479279,5000
"standard deviation",0.0150686840150125,0.0142280782068177,0.018294084552287,0.0196393277892087,5000
"root MSE",0.0173268485141662,0.0208073118344192,0.0184275358192763,0.0203155636142028,5000
"coverage probability",0.9286,0.7806,0.96,0.9474,5000
