"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.269229914873214,0.186298998146874,0.018103908065723,0.11505801135088,500
"standard deviation",0.265602933172737,0.0701148278246565,0.111407286797799,0.124627845543096,500
"root MSE",0.378173976086375,0.199053818284387,0.112857665766171,0.169609373092279,500
"coverage probability",0.897,0.042,0.947,0.7222,500
"bias",0.0222500874938786,0.099807517535263,0.0429414677708452,0.0235547655614885,1000
"standard deviation",0.0823907855904445,0.0405497845916214,0.100376680779944,0.0978420124576497,1000
"root MSE",0.0853343441727058,0.107728811048728,0.10916699411042,0.100627887638265,1000
"coverage probability",0.9742,0.1224,0.9868,0.8464,1000
"bias",0.0093190621237924,0.0676451042050734,0.0586676272851638,0.0227245158847032,2000
"standard deviation",0.0384730012525425,0.0261255527072853,0.0805119386497276,0.085417530090739,2000
"root MSE",0.0395818229731801,0.072513916721382,0.0996130830862863,0.0883804211242912,2000
"coverage probability",0.9446,0.128,0.985,0.8692,2000
"bias",0.0136751389036382,0.0495921193120504,0.0513773512616264,0.0273416469531843,3000
"standard deviation",0.0260354762457405,0.019968604204095,0.0668350126028732,0.0721470381327549,3000
"root MSE",0.0294061197401433,0.0534606743568548,0.0842950636069802,0.0771473896539572,3000
"coverage probability",0.925,0.1828,0.985,0.8784,3000
"bias",0.0143773050651752,0.0394398441175117,0.0444459412318279,0.0268970272617888,4000
"standard deviation",0.0202051906840146,0.0167027033167053,0.0587159372522437,0.0654773295979173,4000
"root MSE",0.0247966727922999,0.0428301973616733,0.0736363596814443,0.0707804585366431,4000
"coverage probability",0.9138,0.2302,0.9856,0.8936,4000
"bias",0.0135826135408051,0.0323887764117273,0.0371435068759391,0.0225799913019258,5000
"standard deviation",0.0168411795268036,0.0144570889131185,0.0520676384609266,0.0584627531653955,5000
"root MSE",0.0216346017616992,0.0354682739332874,0.0639541778943778,0.0626663062272819,5000
"coverage probability",0.9032,0.2904,0.985,0.9092,5000
