"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0687979500413974,0.0686605592177221,0.0690850810508391,0.0675330807966447,500
"standard deviation",0.044134648538938,0.0440494142267528,0.0441281881684959,0.0446074041740792,500
"root MSE",0.0817351549708806,0.0815734957914127,0.081973507643854,0.0809329323880852,500
"coverage probability",0.7008,0.679,0.693,0.7204,500
"bias",0.0385965483656406,0.0386438578904283,0.0388807120588718,0.0376749839015545,1000
"standard deviation",0.0307306054015825,0.0307397970949273,0.0307337149606049,0.0307178589186992,1000
"root MSE",0.0493343164548505,0.0493770583476561,0.0495588750198948,0.0486086674489251,1000
"coverage probability",0.7986,0.7972,0.7924,0.812,1000
"bias",0.0267620272227189,0.0267620272227189,0.0268257951622539,0.0264454827779629,2000
"standard deviation",0.0207031553444716,0.0207031553444716,0.0207016443070767,0.0207476056279868,2000
"root MSE",0.0338340216078229,0.0338340216078229,0.033883560195005,0.0336116141538329,2000
"coverage probability",0.7986,0.7986,0.7942,0.8072,2000
"bias",0.0229496534686929,0.0229496534686929,0.0229472875991388,0.0229098686565118,3000
"standard deviation",0.0164600496490056,0.0164600496490056,0.0164585657275778,0.0164961837773064,3000
"root MSE",0.0282412046863077,0.0282412046863077,0.0282384173970396,0.0282299793881867,3000
"coverage probability",0.787,0.787,0.7866,0.793,3000
"bias",0.0209560280357976,0.0209560280357976,0.0209543014119014,0.020989329583187,4000
"standard deviation",0.014204282496023,0.014204282496023,0.0142046799506281,0.0142375877453076,4000
"root MSE",0.0253155367301528,0.0253155367301528,0.0253143304389844,0.0253617885681594,4000
"coverage probability",0.7576,0.7576,0.7572,0.7584,4000
"bias",0.0202403148559906,0.0202403148559906,0.0202401955229604,0.020324038372342,5000
"standard deviation",0.0125526650541352,0.0125526650541352,0.0125535629992037,0.0125816471158279,5000
"root MSE",0.0238161338497865,0.0238161338497865,0.0238165056293707,0.0239025672332245,5000
"coverage probability",0.719,0.719,0.7182,0.721,5000
