"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.165130859887472,0.15939433319819,0.16639038540748,0.161486737472713,500
"standard deviation",0.0549976331864758,0.0533430814573164,0.0546767102072327,0.0561638672923834,500
"root MSE",0.174046935035808,0.168081732196541,0.175141956956657,0.170972850162883,500
"coverage probability",0.1236,0.0554,0.1094,0.1494,500
"bias",0.105153170149425,0.106527932390617,0.105818991175351,0.102574554751379,1000
"standard deviation",0.0375869913949493,0.0372655296681156,0.0375039956771153,0.0381777988711227,1000
"root MSE",0.111667759708044,0.112856733680028,0.112267213714333,0.109447668317887,1000
"coverage probability",0.1922,0.1304,0.1796,0.233,1000
"bias",0.0730503650584974,0.074393562482246,0.0733927672459714,0.0718516391620299,2000
"standard deviation",0.0253240792373377,0.0253431886049156,0.0253129532285049,0.0257364205309217,2000
"root MSE",0.077314530087176,0.0785910356976063,0.0776345009390128,0.0763209598953436,2000
"coverage probability",0.1802,0.1602,0.1752,0.2104,2000
"bias",0.061689633288219,0.06184558354835,0.0618438655991618,0.0608353579867413,3000
"standard deviation",0.0192881169575805,0.019287855482524,0.0192633509264808,0.0194147279969741,3000
"root MSE",0.0646341079052932,0.064782892566455,0.0647739622520203,0.0638576311668294,3000
"coverage probability",0.1356,0.133,0.131,0.1652,3000
"bias",0.0560535568378153,0.0560593216106915,0.0561423290978712,0.0557808315885451,4000
"standard deviation",0.0163151883335087,0.0163158135227383,0.0163124637980477,0.0165893282104282,4000
"root MSE",0.0583792203395521,0.0583849301550112,0.0584637013231395,0.0581949477362154,4000
"coverage probability",0.097,0.097,0.0952,0.1146,4000
"bias",0.0522608570563047,0.0522609626714191,0.0523061295572328,0.052378130538275,5000
"standard deviation",0.0140745412064844,0.0140744913459565,0.0140676013541298,0.0142195047731962,5000
"root MSE",0.0541225486455554,0.0541226376641931,0.0541644626820498,0.0542735887501124,5000
"coverage probability",0.0602,0.0602,0.0596,0.0674,5000
