"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0186922955652964,0.0370676202401677,0.0307651294029552,0.0358113943412977,500
"standard deviation",0.0700262046284446,0.0459836024282969,0.0504350465860309,0.0493413364818794,500
"root MSE",0.0724713082143427,0.0590599463614259,0.0590734997484562,0.0609634032595688,500
"coverage probability",0.9778,0.8576,0.9346,0.9082,500
"bias",0.00415305273618129,0.019732365400614,0.0155570815902955,0.0186036123155391,1000
"standard deviation",0.0486316422444004,0.0343544267715205,0.0370851433106435,0.035333947911771,1000
"root MSE",0.0488038058668725,0.0396151087058379,0.040212629613185,0.0399290942627506,1000
"coverage probability",0.9674,0.9092,0.9446,0.924,1000
"bias",0.000435590172253786,0.00938473648791664,0.00796599587779593,0.010913357301286,2000
"standard deviation",0.0330768629341955,0.0244008877201261,0.0253874950111473,0.0240468416942237,2000
"root MSE",0.0330764233948201,0.0261411078535996,0.0266055086079087,0.0264052326809194,2000
"coverage probability",0.9644,0.9486,0.9554,0.9356,2000
"bias",0.000697887621941171,0.0053817229910974,0.00504751819057641,0.00834636540559088,3000
"standard deviation",0.0270552707085377,0.0203407769380647,0.0206834578936051,0.0196133888213392,3000
"root MSE",0.0270615654150032,0.0210387119224472,0.0212884313474396,0.0213136083180785,3000
"coverage probability",0.9622,0.9618,0.9612,0.9446,3000
"bias",0.00157935664441155,0.00316123151917265,0.00344980065849468,0.00717797030214566,4000
"standard deviation",0.0234566313997249,0.0180184512357805,0.0178936372312107,0.0169716972959708,4000
"root MSE",0.0235074005649601,0.0182918844501331,0.018221397901776,0.0184256386337822,4000
"coverage probability",0.9564,0.9638,0.963,0.9408,4000
"bias",0.00267591681952277,0.00157354346494493,0.0022835394399694,0.00621197782290645,5000
"standard deviation",0.0206170886219541,0.0163566989866757,0.0160636762070069,0.0150320693033356,5000
"root MSE",0.0207879739561571,0.0164305852743121,0.0162235827522406,0.0162636583643121,5000
"coverage probability",0.9524,0.9624,0.9592,0.9376,5000
