"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.0752705952185534,0.111264272975439,0.0830793034472719,0.0862311407133476,500
"standard deviation",0.0755495670593252,0.0537320598080893,0.0649671214463814,0.0648774676361916,500
"root MSE",0.10664078975697,0.123556850336688,0.105461146328584,0.107907616128098,500
"coverage probability",0.8272,0.24,0.7652,0.738,500
"bias",0.04013364539098,0.0660361085550538,0.0439313333329327,0.0477035247252598,1000
"standard deviation",0.0499127027438345,0.0366074203835929,0.0456958190968587,0.0459729055586976,1000
"root MSE",0.0640428694858707,0.0755023366498714,0.0633849533388287,0.0662473517592462,1000
"coverage probability",0.8954,0.3942,0.8738,0.8448,1000
"bias",0.0181912798370998,0.0387866184605736,0.0190250659128765,0.0243146749920678,2000
"standard deviation",0.0342849999029989,0.0258359721977101,0.0339274408662605,0.0334384873697065,2000
"root MSE",0.0388091327939267,0.0466022073674099,0.0388946546773995,0.0413414106079654,2000
"coverage probability",0.9374,0.5852,0.9414,0.9144,2000
"bias",0.0100363909708638,0.0258394185713038,0.00924390322153126,0.0156062132268034,3000
"standard deviation",0.0263606316968128,0.0202132860787401,0.0275051240197751,0.026446035905743,3000
"root MSE",0.0282041321546038,0.0328050418505633,0.0290143117744119,0.0307051596290473,3000
"coverage probability",0.9602,0.724,0.9644,0.9464,3000
"bias",0.0060464184160005,0.0194205334880259,0.00459684570405551,0.0114733380091317,4000
"standard deviation",0.0225402490554056,0.0173818670171947,0.0243034252203901,0.0230763975099449,4000
"root MSE",0.0233349606936795,0.0260619645480301,0.0247319497123558,0.0257691890265171,4000
"coverage probability",0.9608,0.804,0.9682,0.9568,4000
"bias",0.0032843696400729,0.0147836062344117,0.00112406302806239,0.00866760597680975,5000
"standard deviation",0.0198784755718291,0.0154665627952288,0.0218539999251552,0.0201553374997222,5000
"root MSE",0.0201460131101474,0.0213944323383433,0.0218807063633054,0.0219381807716819,5000
"coverage probability",0.9666,0.8532,0.9678,0.963,5000
