"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.200677063378082,0.224954009773855,0.200812569048428,0.182732951313523,500
"standard deviation",0.070763327697339,0.0682743636127681,0.0706912233720262,0.0804441425633121,500
"root MSE",0.212785645246906,0.23508458682423,0.212889495982895,0.199652942168359,500
"coverage probability",0.0622,0.0024,0.0612,0.2572,500
"bias",0.111508232895708,0.132393037186766,0.111597846743849,0.100199344424716,1000
"standard deviation",0.0462235240712404,0.0408463269096723,0.0462135484124798,0.0572795680292187,1000
"root MSE",0.120707385268062,0.13854964826034,0.120786358154905,0.115413176660961,1000
"coverage probability",0.2288,0.0178,0.2276,0.4866,1000
"bias",0.0612573976766851,0.0810178469339736,0.0612898279345526,0.040745441459638,2000
"standard deviation",0.0291575953968102,0.0266241488098035,0.0291570791752283,0.0381826249689655,2000
"root MSE",0.0678414630323504,0.0852795113295295,0.0678705256147644,0.0558373733863938,2000
"coverage probability",0.3702,0.0452,0.3696,0.766,2000
"bias",0.0465467456138802,0.0617639616456519,0.0465667237228658,0.0237679031364752,3000
"standard deviation",0.0220681674906938,0.0202585000450211,0.0220663934110978,0.0302860904183201,3000
"root MSE",0.0515121941178719,0.0650008592318198,0.0515294875902275,0.0384964549390845,3000
"coverage probability",0.3948,0.0542,0.3938,0.8526,3000
"bias",0.039835193795868,0.0519103588657159,0.0398510115457134,0.015754570579313,4000
"standard deviation",0.0185890226534451,0.0171295112397184,0.0185841767600612,0.0267334448547123,4000
"root MSE",0.0439582224118766,0.0546630298176746,0.0439705091253287,0.0310280620168862,4000
"coverage probability",0.3774,0.059,0.377,0.9112,4000
"bias",0.0356246652486234,0.0457636511372243,0.0356304199259269,0.0102476463960739,5000
"standard deviation",0.0158395066572812,0.0146049626637245,0.0158402928190475,0.0244525661989677,5000
"root MSE",0.0389866203617126,0.0480372151444219,0.0389921981647064,0.0265108027938635,5000
"coverage probability",0.3514,0.0554,0.351,0.9318,5000
