"evaluation metric","none","deterministic truncation","adaptive truncation","isotonic regression","n samples"
"bias",0.302084643151596,0.336196806037256,0.302232631382542,0.268651180832288,500
"standard deviation",0.0811378823074257,0.078703716104928,0.0811029772943015,0.0922860308821592,500
"root MSE",0.312789339495725,0.34528441676883,0.312923218793094,0.284057151144389,500
"coverage probability",0.0018,2e-04,0.0018,0.119,500
"bias",0.176432379482643,0.198716073883031,0.176465561556765,0.160300745189565,1000
"standard deviation",0.051080771766918,0.0451829204838662,0.0510562698008736,0.066948998303495,1000
"root MSE",0.183676639573906,0.203787060491281,0.183701703184774,0.173717013698994,1000
"coverage probability",0.0214,0,0.021,0.2228,1000
"bias",0.113399546844024,0.133259805405107,0.113409842727432,0.0769186008920793,2000
"standard deviation",0.0324223841516411,0.0304197674122224,0.0324222840823803,0.0468867021193433,2000
"root MSE",0.11794260458506,0.136687061983096,0.117952476411809,0.0900799329831894,2000
"coverage probability",0.0274,4e-04,0.0274,0.5078,2000
"bias",0.0915997253055544,0.106490460485245,0.0916145768060088,0.0510981427611348,3000
"standard deviation",0.0248674269259657,0.0231423755920446,0.0248620588137331,0.0387180574420073,3000
"root MSE",0.0949145664278507,0.108975596389711,0.0949274935274703,0.064107786953891,3000
"coverage probability",0.0234,0,0.023,0.6204,3000
"bias",0.078930224285734,0.0907517790872981,0.0789372460538327,0.035935703299848,4000
"standard deviation",0.0206963736866628,0.019222921149902,0.0206919980084394,0.0332300784581655,4000
"root MSE",0.0815980056226714,0.092764929800575,0.0816036884239203,0.048942742448372,4000
"coverage probability",0.015,0,0.015,0.7082,4000
"bias",0.0718212535660525,0.0816680538355751,0.0718233929025428,0.0265163244056728,5000
"standard deviation",0.0173076919544881,0.01626036442301,0.0173068282521759,0.0305043043815516,5000
"root MSE",0.0738768485613085,0.083270748697062,0.0738787260780972,0.0404158625204518,5000
"coverage probability",0.0064,0,0.0064,0.7878,5000
